"Step","prior5-4cycle - train_metric","prior5-4cycle - train_metric__MIN","prior5-4cycle - train_metric__MAX"
"543","0.77432","0.77432","0.77432"
"544","0.7772","0.7772","0.7772"
"545","0.77296","0.77296","0.77296"
"546","0.77624","0.77624","0.77624"
"547","0.77368","0.77368","0.77368"
"548","0.77008","0.77008","0.77008"
"549","0.7756","0.7756","0.7756"
"550","0.7732","0.7732","0.7732"
"551","0.76632","0.76632","0.76632"
"552","0.7784","0.7784","0.7784"
"553","0.77352","0.77352","0.77352"
"554","0.7748","0.7748","0.7748"
"555","0.77696","0.77696","0.77696"
"556","0.77232","0.77232","0.77232"
"557","0.77544","0.77544","0.77544"
"558","0.77344","0.77344","0.77344"
"559","0.77688","0.77688","0.77688"
"560","0.78008","0.78008","0.78008"
"561","0.77688","0.77688","0.77688"
"562","0.77448","0.77448","0.77448"
"563","0.77176","0.77176","0.77176"
"564","0.76888","0.76888","0.76888"
"565","0.76888","0.76888","0.76888"
"566","0.77792","0.77792","0.77792"
"567","0.772","0.772","0.772"
"568","0.76824","0.76824","0.76824"
"569","0.77336","0.77336","0.77336"
"570","0.76944","0.76944","0.76944"
"571","0.77424","0.77424","0.77424"
"572","0.77712","0.77712","0.77712"
"573","0.78072","0.78072","0.78072"
"574","0.77112","0.77112","0.77112"
"575","0.77968","0.77968","0.77968"
"576","0.7724","0.7724","0.7724"
"577","0.77456","0.77456","0.77456"
"578","0.77944","0.77944","0.77944"
"579","0.76736","0.76736","0.76736"
"580","0.77184","0.77184","0.77184"
"581","0.77136","0.77136","0.77136"
"582","0.76752","0.76752","0.76752"
"583","0.78","0.78","0.78"
"584","0.77016","0.77016","0.77016"
"585","0.76952","0.76952","0.76952"
"586","0.77008","0.77008","0.77008"
"587","0.76856","0.76856","0.76856"
"588","0.76968","0.76968","0.76968"
"589","0.77208","0.77208","0.77208"
"590","0.77448","0.77448","0.77448"
"591","0.76808","0.76808","0.76808"
"592","0.76872","0.76872","0.76872"
"593","0.77008","0.77008","0.77008"
"594","0.77344","0.77344","0.77344"
"595","0.76768","0.76768","0.76768"
"596","0.77312","0.77312","0.77312"
"597","0.77032","0.77032","0.77032"
"598","0.77288","0.77288","0.77288"
"599","0.77936","0.77936","0.77936"
"600","0.77368","0.77368","0.77368"
"601","0.77168","0.77168","0.77168"
"602","0.78096","0.78096","0.78096"
"603","0.76928","0.76928","0.76928"
"604","0.77416","0.77416","0.77416"
"605","0.77408","0.77408","0.77408"
"606","0.77744","0.77744","0.77744"
"607","0.7752","0.7752","0.7752"
"608","0.77424","0.77424","0.77424"
"609","0.77064","0.77064","0.77064"
"610","0.77632","0.77632","0.77632"
"611","0.77768","0.77768","0.77768"
"612","0.76992","0.76992","0.76992"
"613","0.77064","0.77064","0.77064"
"614","0.76872","0.76872","0.76872"
"615","0.77248","0.77248","0.77248"
"616","0.7688","0.7688","0.7688"
"617","0.776","0.776","0.776"
"618","0.77208","0.77208","0.77208"
"619","0.77072","0.77072","0.77072"
"620","0.76832","0.76832","0.76832"
"621","0.77472","0.77472","0.77472"
"622","0.78008","0.78008","0.78008"
"623","0.76928","0.76928","0.76928"
"624","0.78072","0.78072","0.78072"
"625","0.77432","0.77432","0.77432"
"626","0.77416","0.77416","0.77416"
"627","0.77384","0.77384","0.77384"
"628","0.77176","0.77176","0.77176"
